File,Sort_Cat,Category,Sort_ID,Variable,Tool,Excel
Intangibles (suppl.) - analytical,7,"Capital stock intangibles (suppl.), volume 2010 ref.prices, NAC mn",4,Kq_VT,Vocational training,"Capital stock intangibles (suppl.), Vocational training, volume 2010 ref.prices, NAC mn"
Intangibles (suppl.) - analytical,7,"Capital stock intangibles (suppl.), volume 2010 ref.prices, NAC mn",5,Kq_OOCap,Own-account organisational capital,"Capital stock intangibles (suppl.), Own-account organisational capital, volume 2010 ref.prices, NAC mn"
Growth Accounts - analytical,1,Labour and capital services growth,1,LAB,"Labour compensation, NAC mn","Labour compensation, NAC mn"
Growth Accounts - analytical,1,Labour and capital services growth,2,CAP,"Capital compensation, NAC mn","Capital compensation, NAC mn"
Growth Accounts - analytical,1,Labour and capital services growth,3,LAB_QI,"Labour services, volume indices, 2010=100","Labour services, volume indices, 2010=100"
Growth Accounts - analytical,1,Labour and capital services growth,4,CAP_QI,"Capital services, volume indices, 2010=100","Capital services, volume indices, 2010=100"
Growth Accounts - analytical,1,Labour and capital services growth,5,CAPIT_QI,"ICT capital services, volume indices, 2010=100","ICT capital services, volume indices, 2010=100"
Growth Accounts - analytical,1,Labour and capital services growth,6,CAPNIT_QI,"Non-ICT capital services, volume indices, 2010=100","Non-ICT capital services, volume indices, 2010=100"
Growth Accounts - analytical,1,Labour and capital services growth,7,CAPTang_QI,"Tangible capital services, volume indices, 2010=100","Tangible capital services, volume indices, 2010=100"
Growth Accounts - analytical,1,Labour and capital services growth,8,CAPIntang_QI,"Intangible capital services, volume indices, 2010=100","Intangible capital services, volume indices, 2010=100"
Growth Accounts - analytical,2,Contributions to value added growth,1,VA_G,"Growth rate of value added volume, %, log","Growth rate of value added (VA) volume, %, log"
Growth Accounts - analytical,2,Contributions to value added growth,2,VAConH,"Hours worked, p.p.","Contribution of hours worked to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,3,VAConLC,"Labour composition change, p.p.","Contribution of labour composition change to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,4,VAConTangNICT,"Tangible non-ICT capital services, p.p.","Contribution of tangible non-ICT capital services to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,5,VAConTangICT,"Tangible ICT capital services, p.p.","Contribution of tangible ICT capital services to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,6,VAConIntangSoftDB,"Intangible Software and databases capital services, p.p.","Contribution of intangible Software and databases capital services to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,7,VAConIntangRD,"Intangible R&D capital services, p.p.","Contribution of intangible R&D capital services to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,9,VAConIntangOInnProp,"Intangible other innovative property capital services, p.p.","Contribution of intangible other innovative property capital services to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,10,VAConIntangEconComp,"Intangible economic competences capital services, p.p.","Contribution of intangible economic competences capital services to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,11,VAConTFP,"TFP, p.p.","Contribution of TFP to VA growth, p.p."
Growth Accounts - analytical,2,Contributions to value added growth,12,VATFP_I,"TFP index, 2010=100","TFP (VA based) index, 2010=100"
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,1,LP1_G,"Growth rate of value added per hour worked, %, log","Growth rate of value added (VA) per hour worked, %, log"
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,2,LP1ConLC,"Labour composition change, p.p.","Contribution of labour composition change to VA per hour worked growth, p.p."
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,3,LP1ConTangNICT,"Tangible non-ICT capital services, p.p.","Contribution of tangible non-ICT capital services to VA per hour worked growth, p.p."
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,4,LP1ConTangICT,"Tangible ICT capital services, p.p.","Contribution of tangible ICT capital services to VA per hour worked growth, p.p."
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,5,LP1ConIntangSoftDB,"Intangible Software and databases capital services, p.p.",Contribution of intangible Software and databases capital services to VA per hour worked growth. p.p.
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,6,LP1ConIntangRD,"Intangible R&D capital services, p.p.",Contribution of intangible R&D capital services to VA per hour worked growth. p.p.
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,8,LP1ConIntangOInnProp,"Intangible other innovative property capital services, p.p.","Contribution of intangible other innovative property capital services to VA per hour worked growth, p.p."
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,9,LP1ConIntangEconComp,"Intangible economic competences capital services, p.p.","Contribution of intangible economic competences capital services to VA per hour worked growth, p.p."
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,10,LP1ConTFP,"TFP, p.p.","Contribution of TFP to VA per hour worked growth, p.p."
Growth Accounts - analytical,3,Contributions to value added per hour worked growth,11,LP1TFP_I,"TFP index, 2010=100","TFP (VA per hour worked based) index, 2010=100"
Growth Accounts - analytical,4,Contributions to value added per person employed growth,1,LP2_G,"Growth rate of value added per person employed, %, log","Growth rate of value added (VA) per person employed, %, log"
Growth Accounts - analytical,4,Contributions to value added per person employed growth,2,LP2ConLHE,"Hours worked per person employed, p.p.","Contribution of hours worked per person employed to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,3,LP2ConLC,"Labour composition change, p.p.","Contribution of labour composition change to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,4,LP2ConTangNICT,"Tangible non-ICT capital services, p.p.","Contribution of tangible non-ICT capital services to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,5,LP2ConTangICT,"Tangible ICT capital services, p.p.","Contribution of tangible ICT capital services to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,6,LP2ConIntangSoftDB,"Intangible Software and databases capital services, p.p.","Contribution of intangible Software and databases capital services to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,7,LP2ConIntangRD,"Intangible R&D capital services, p.p.","Contribution of intangible R&D capital services to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,9,LP2ConIntangOInnProp,"Intangible other innovative property capital services, p.p.","Contribution of intangible other innovative property capital services to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,10,LP2ConIntangEconComp,"Intangible economic competences capital services, p.p.","Contribution of intangible economic competences capital services to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,11,LP2ConTFP,"TFP, p.p.","Contribution of TFP to VA per person employed growth, p.p."
Growth Accounts - analytical,4,Contributions to value added per person employed growth,12,LP2TFP_I,"TFP index, 2010=100","TFP (VA per person employed based) index, 2010=100"
